정산일자,총 매출금액,총 주문건수,파일명
23-07-30,0,0,[2023-07] 월간 정산.xlsx
23-07-31,0,0,[2023-07] 월간 정산.xlsx
합계,19612800,634,[2023-07] 월간 정산.xlsx
23-08-01,0,0,[2023-08] 월간 정산.xlsx
23-08-02,0,0,[2023-08] 월간 정산.xlsx
23-08-03,0,0,[2023-08] 월간 정산.xlsx
23-08-04,0,0,[2023-08] 월간 정산.xlsx
23-08-05,0,0,[2023-08] 월간 정산.xlsx
23-08-06,0,0,[2023-08] 월간 정산.xlsx
23-08-07,0,0,[2023-08] 월간 정산.xlsx
23-08-08,0,0,[2023-08] 월간 정산.xlsx
23-08-09,25900,1,[2023-08] 월간 정산.xlsx
23-08-10,1111800,37,[2023-08] 월간 정산.xlsx
23-08-11,1168700,42,[2023-08] 월간 정산.xlsx
23-08-12,1361400,47,[2023-08] 월간 정산.xlsx
23-08-13,2105400,72,[2023-08] 월간 정산.xlsx
23-08-14,1005100,37,[2023-08] 월간 정산.xlsx
23-08-15,1119200,40,[2023-08] 월간 정산.xlsx
23-08-16,850300,31,[2023-08] 월간 정산.xlsx
23-08-17,1164700,34,[2023-08] 월간 정산.xlsx
23-08-18,1027700,35,[2023-08] 월간 정산.xlsx
23-08-19,1494000,47,[2023-08] 월간 정산.xlsx
23-08-20,1617200,53,[2023-08] 월간 정산.xlsx
23-08-21,0,0,[2023-08] 월간 정산.xlsx
23-08-22,1350400,48,[2023-08] 월간 정산.xlsx
23-08-23,1560900,21,[2023-08] 월간 정산.xlsx
23-08-24,1145800,41,[2023-08] 월간 정산.xlsx
23-08-25,1052200,35,[2023-08] 월간 정산.xlsx
23-08-26,1843900,51,[2023-08] 월간 정산.xlsx
23-08-27,1324800,49,[2023-08] 월간 정산.xlsx
23-08-28,946200,28,[2023-08] 월간 정산.xlsx
23-08-29,1241800,47,[2023-08] 월간 정산.xlsx
23-08-30,0,0,[2023-08] 월간 정산.xlsx
23-08-31,1188300,44,[2023-08] 월간 정산.xlsx
합계,25705700,840,[2023-08] 월간 정산.xlsx
23-09-01,1068400,41,[2023-09] 월간 정산.xlsx
23-09-02,1177200,42,[2023-09] 월간 정산.xlsx
23-09-03,1601000,55,[2023-09] 월간 정산.xlsx
23-09-04,664300,25,[2023-09] 월간 정산.xlsx
23-09-05,778000,23,[2023-09] 월간 정산.xlsx
23-09-06,0,0,[2023-09] 월간 정산.xlsx
23-09-07,941800,34,[2023-09] 월간 정산.xlsx
23-09-08,1603100,56,[2023-09] 월간 정산.xlsx
23-09-09,1439900,51,[2023-09] 월간 정산.xlsx
23-09-10,1709600,58,[2023-09] 월간 정산.xlsx
23-09-11,1135300,34,[2023-09] 월간 정산.xlsx
23-09-12,1039100,36,[2023-09] 월간 정산.xlsx
23-09-13,0,0,[2023-09] 월간 정산.xlsx
23-09-14,1367200,46,[2023-09] 월간 정산.xlsx
23-09-15,1678200,52,[2023-09] 월간 정산.xlsx
23-09-16,1740500,63,[2023-09] 월간 정산.xlsx
23-09-17,0,0,[2023-09] 월간 정산.xlsx
23-09-18,1209800,42,[2023-09] 월간 정산.xlsx
23-09-19,1309700,45,[2023-09] 월간 정산.xlsx
23-09-20,0,0,[2023-09] 월간 정산.xlsx
23-09-21,1498500,52,[2023-09] 월간 정산.xlsx
23-09-22,1472400,50,[2023-09] 월간 정산.xlsx
23-09-23,2504800,88,[2023-09] 월간 정산.xlsx
23-09-24,1464800,39,[2023-09] 월간 정산.xlsx
23-09-25,0,0,[2023-09] 월간 정산.xlsx
23-09-26,1547400,50,[2023-09] 월간 정산.xlsx
23-09-27,1333000,45,[2023-09] 월간 정산.xlsx
23-09-28,2287200,74,[2023-09] 월간 정산.xlsx
23-09-29,3617900,92,[2023-09] 월간 정산.xlsx
23-09-30,0,0,[2023-09] 월간 정산.xlsx
합계,36189100,1193,[2023-09] 월간 정산.xlsx
23-10-01,0,0,[2023-10] 월간 정산.xlsx
23-10-02,1973000,69,[2023-10] 월간 정산.xlsx
23-10-03,1738500,56,[2023-10] 월간 정산.xlsx
23-10-04,1590400,57,[2023-10] 월간 정산.xlsx
23-10-05,0,0,[2023-10] 월간 정산.xlsx
23-10-06,1372200,51,[2023-10] 월간 정산.xlsx
23-10-07,2335300,82,[2023-10] 월간 정산.xlsx
23-10-08,2042800,75,[2023-10] 월간 정산.xlsx
23-10-09,1366600,50,[2023-10] 월간 정산.xlsx
23-10-10,1686000,55,[2023-10] 월간 정산.xlsx
23-10-11,1121000,43,[2023-10] 월간 정산.xlsx
23-10-12,0,0,[2023-10] 월간 정산.xlsx
23-10-13,1207000,43,[2023-10] 월간 정산.xlsx
23-10-14,1832300,62,[2023-10] 월간 정산.xlsx
23-10-15,2702500,77,[2023-10] 월간 정산.xlsx
23-10-16,1014300,39,[2023-10] 월간 정산.xlsx
23-10-17,1448800,46,[2023-10] 월간 정산.xlsx
23-10-18,1332500,48,[2023-10] 월간 정산.xlsx
23-10-19,0,0,[2023-10] 월간 정산.xlsx
23-10-20,1985100,65,[2023-10] 월간 정산.xlsx
23-10-21,1970600,68,[2023-10] 월간 정산.xlsx
23-10-22,2109400,66,[2023-10] 월간 정산.xlsx
23-10-23,1454600,48,[2023-10] 월간 정산.xlsx
23-10-24,1222300,42,[2023-10] 월간 정산.xlsx
23-10-25,1592900,37,[2023-10] 월간 정산.xlsx
23-10-26,0,0,[2023-10] 월간 정산.xlsx
23-10-27,1503000,49,[2023-10] 월간 정산.xlsx
23-10-28,1883800,65,[2023-10] 월간 정산.xlsx
23-10-29,1504900,53,[2023-10] 월간 정산.xlsx
23-10-30,1153200,37,[2023-10] 월간 정산.xlsx
23-10-31,1943200,66,[2023-10] 월간 정산.xlsx
합계,43086200,1449,[2023-10] 월간 정산.xlsx
23-11-01,1281400,46,[2023-11] 월간 정산.xlsx
23-11-02,0,0,[2023-11] 월간 정산.xlsx
23-11-03,1614800,60,[2023-11] 월간 정산.xlsx
23-11-04,2115500,73,[2023-11] 월간 정산.xlsx
23-11-05,2177600,79,[2023-11] 월간 정산.xlsx
23-11-06,989100,30,[2023-11] 월간 정산.xlsx
23-11-07,1787000,56,[2023-11] 월간 정산.xlsx
23-11-08,1127300,37,[2023-11] 월간 정산.xlsx
23-11-09,0,0,[2023-11] 월간 정산.xlsx
23-11-10,1689200,50,[2023-11] 월간 정산.xlsx
23-11-11,1893600,66,[2023-11] 월간 정산.xlsx
23-11-12,2093800,75,[2023-11] 월간 정산.xlsx
23-11-13,1237900,38,[2023-11] 월간 정산.xlsx
23-11-14,1412100,46,[2023-11] 월간 정산.xlsx
23-11-15,1229600,39,[2023-11] 월간 정산.xlsx
23-11-16,0,0,[2023-11] 월간 정산.xlsx
23-11-17,1189000,44,[2023-11] 월간 정산.xlsx
23-11-18,1722800,63,[2023-11] 월간 정산.xlsx
23-11-19,2088500,77,[2023-11] 월간 정산.xlsx
23-11-20,1334300,33,[2023-11] 월간 정산.xlsx
23-11-21,2304300,52,[2023-11] 월간 정산.xlsx
23-11-22,1037000,34,[2023-11] 월간 정산.xlsx
23-11-23,0,0,[2023-11] 월간 정산.xlsx
23-11-24,1345000,48,[2023-11] 월간 정산.xlsx
23-11-25,1986700,71,[2023-11] 월간 정산.xlsx
23-11-26,2074800,71,[2023-11] 월간 정산.xlsx
23-11-27,1678700,42,[2023-11] 월간 정산.xlsx
23-11-28,1396500,42,[2023-11] 월간 정산.xlsx
23-11-29,1487900,52,[2023-11] 월간 정산.xlsx
23-11-30,0,0,[2023-11] 월간 정산.xlsx
합계,40294400,1324,[2023-11] 월간 정산.xlsx
23-12-01,1431200,51,[2023-12] 월간 정산.xlsx
23-12-02,2068400,69,[2023-12] 월간 정산.xlsx
23-12-03,1463500,51,[2023-12] 월간 정산.xlsx
23-12-04,1651800,32,[2023-12] 월간 정산.xlsx
23-12-05,1050100,39,[2023-12] 월간 정산.xlsx
23-12-06,1239600,43,[2023-12] 월간 정산.xlsx
23-12-07,0,0,[2023-12] 월간 정산.xlsx
23-12-08,1403700,47,[2023-12] 월간 정산.xlsx
23-12-09,2319300,68,[2023-12] 월간 정산.xlsx
23-12-10,1596000,57,[2023-12] 월간 정산.xlsx
23-12-11,1668900,39,[2023-12] 월간 정산.xlsx
23-12-12,1577700,54,[2023-12] 월간 정산.xlsx
23-12-13,1671600,39,[2023-12] 월간 정산.xlsx
23-12-14,0,0,[2023-12] 월간 정산.xlsx
23-12-15,1289700,48,[2023-12] 월간 정산.xlsx
23-12-16,2543100,79,[2023-12] 월간 정산.xlsx
23-12-17,2172200,79,[2023-12] 월간 정산.xlsx
23-12-18,1354400,42,[2023-12] 월간 정산.xlsx
23-12-19,1097700,38,[2023-12] 월간 정산.xlsx
23-12-20,1848800,50,[2023-12] 월간 정산.xlsx
23-12-21,343500,1,[2023-12] 월간 정산.xlsx
23-12-22,1350900,44,[2023-12] 월간 정산.xlsx
23-12-23,1500700,53,[2023-12] 월간 정산.xlsx
23-12-24,3391000,109,[2023-12] 월간 정산.xlsx
23-12-25,2303800,79,[2023-12] 월간 정산.xlsx
23-12-26,1035700,32,[2023-12] 월간 정산.xlsx
23-12-27,1640900,36,[2023-12] 월간 정산.xlsx
23-12-28,0,0,[2023-12] 월간 정산.xlsx
23-12-29,1722000,57,[2023-12] 월간 정산.xlsx
23-12-30,2003400,61,[2023-12] 월간 정산.xlsx
23-12-31,3198300,107,[2023-12] 월간 정산.xlsx
합계,47937900,1504,[2023-12] 월간 정산.xlsx
24-01-01,2108600,73,[2024-01] 월간 정산.xlsx
24-01-02,1728100,46,[2024-01] 월간 정산.xlsx
24-01-03,1405800,33,[2024-01] 월간 정산.xlsx
24-01-04,229000,1,[2024-01] 월간 정산.xlsx
24-01-05,1319000,39,[2024-01] 월간 정산.xlsx
24-01-06,1607400,56,[2024-01] 월간 정산.xlsx
24-01-07,2172000,63,[2024-01] 월간 정산.xlsx
24-01-08,667500,22,[2024-01] 월간 정산.xlsx
24-01-09,1236500,44,[2024-01] 월간 정산.xlsx
24-01-10,1747000,47,[2024-01] 월간 정산.xlsx
24-01-11,0,0,[2024-01] 월간 정산.xlsx
24-01-12,1464900,46,[2024-01] 월간 정산.xlsx
24-01-13,1307600,48,[2024-01] 월간 정산.xlsx
24-01-14,1538200,55,[2024-01] 월간 정산.xlsx
24-01-15,1347600,47,[2024-01] 월간 정산.xlsx
24-01-16,1248700,35,[2024-01] 월간 정산.xlsx
24-01-17,1576100,53,[2024-01] 월간 정산.xlsx
24-01-18,0,0,[2024-01] 월간 정산.xlsx
24-01-19,1704700,57,[2024-01] 월간 정산.xlsx
